City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Constitucion,CL,-35.3333,-72.4167,61.02,84,16,12.26,few clouds
1,Durango,MX,24.8333,-104.8333,64.72,26,91,22.48,overcast clouds
2,Oil City,US,41.4339,-79.7064,27.99,69,100,19.57,overcast clouds
3,Bay City,US,43.5945,-83.8889,23.32,77,75,23.02,light snow
4,Englewood,US,39.6478,-104.9878,46.45,15,20,11.5,few clouds
5,Painesville,US,41.7245,-81.2457,24.04,82,100,18.41,snow
6,Loveland,US,40.3978,-105.075,48.43,12,0,20.71,clear sky
7,Choctaw,US,35.4976,-97.2689,45.12,31,0,18.41,clear sky
8,Marsh Harbour,BS,26.5412,-77.0636,75.18,80,24,13.06,few clouds
9,Hastings,GB,50.8552,0.5729,47.52,55,10,10.36,clear sky
10,Kingman,US,35.1894,-114.053,63.12,18,0,10.36,clear sky
11,Matamoros,MX,25.5333,-103.25,63.1,41,86,18.12,light rain
12,Athens,GR,37.9795,23.7162,49.37,65,20,5.75,few clouds
13,Caldwell,US,43.6629,-116.6874,56.55,28,0,16.11,clear sky
14,Leon Valley,US,29.4952,-98.6186,48.04,72,40,6.91,light rain
15,Green River,US,41.5286,-109.4662,36.0,62,1,8.99,clear sky
16,Easton,US,40.6884,-75.2207,44.29,35,20,13.8,few clouds
17,Havelock,US,34.8791,-76.9013,55.36,87,75,0.0,broken clouds
18,Pascagoula,US,30.3658,-88.5561,55.42,47,75,11.5,broken clouds
19,York,US,40.1254,-77.0,44.19,35,90,13.35,overcast clouds
20,Houma,US,29.5958,-90.7195,53.01,50,95,8.01,overcast clouds
21,Woodward,US,36.4337,-99.3904,47.43,23,0,16.11,clear sky
22,West Memphis,US,35.1465,-90.1845,45.28,39,20,11.5,few clouds
23,Worland,US,44.0169,-107.9554,45.05,24,0,10.36,clear sky
24,Rapid Valley,US,44.0625,-103.1463,38.77,33,0,10.0,clear sky
25,Rexburg,US,43.826,-111.7897,33.42,46,0,5.75,clear sky
26,Traverse City,US,44.7631,-85.6206,21.31,82,100,13.8,light snow
27,Cedar City,US,37.6775,-113.0619,47.39,31,0,3.44,clear sky
28,Danville,US,36.586,-79.395,52.18,34,0,9.22,clear sky
29,Evanston,US,42.0411,-87.6901,23.68,60,75,13.8,broken clouds
30,Rantoul,US,40.3084,-88.1559,21.22,75,100,17.27,overcast clouds
31,Harrisburg,US,40.2737,-76.8844,45.14,38,87,10.0,overcast clouds
32,High Rock,BS,26.6208,-78.2833,77.02,80,27,12.39,scattered clouds
33,Effingham,US,32.3669,-81.3332,58.95,55,91,11.27,overcast clouds
34,Seminole,US,28.7086,-81.2081,73.76,84,100,17.27,overcast clouds
35,Carroll,US,39.5501,-77.0164,45.95,36,0,8.01,clear sky
36,North Myrtle Beach,US,33.816,-78.68,60.13,81,80,4.21,broken clouds
37,Twentynine Palms,US,34.1356,-116.0542,70.97,17,10,8.01,clear sky
38,Green Valley,US,31.8543,-110.9937,70.57,26,71,12.77,broken clouds
39,Benito Juarez,MX,19.385,-99.165,69.01,37,68,13.0,broken clouds
40,Texarkana,US,33.4251,-94.0477,55.62,21,0,12.66,clear sky
41,Alice Town,BS,25.7167,-79.3,76.6,82,17,13.47,few clouds
42,Lebanon,US,36.2081,-86.2911,43.02,48,0,18.41,clear sky
43,Fallon,US,39.4735,-118.7774,58.91,20,75,4.61,broken clouds
44,Springfield,US,37.2153,-93.2982,31.15,48,40,18.41,scattered clouds
45,Gillette,US,44.2911,-105.5022,41.05,29,0,9.22,clear sky
46,Homestead,US,25.4687,-80.4776,82.0,72,0,9.22,clear sky
47,Hattiesburg,US,31.3271,-89.2903,51.73,44,40,5.75,scattered clouds
48,Sturgeon Bay,US,44.8342,-87.377,25.16,50,75,17.27,broken clouds
49,Blytheville,US,35.9273,-89.919,43.02,44,75,12.66,broken clouds
50,Tallahassee,US,30.4383,-84.2807,50.32,73,100,5.75,overcast clouds
51,London,GB,51.5085,-0.1257,49.75,91,20,8.05,few clouds
52,Lexington,US,37.9887,-84.4777,33.8,44,20,12.66,few clouds
53,East Moline,US,41.5009,-90.4443,24.37,64,100,21.85,overcast clouds
54,Front Royal,US,38.9182,-78.1944,45.01,34,0,13.8,clear sky
55,Raymondville,US,26.4815,-97.7831,57.24,57,95,17.49,overcast clouds
56,Sahuaripa,MX,29.05,-109.2333,75.79,30,74,4.05,broken clouds
57,Callaway,US,30.153,-85.5699,51.98,59,97,5.01,overcast clouds
58,Pierre,US,44.3683,-100.351,27.52,43,0,6.91,clear sky
59,Durant,US,33.994,-96.3708,50.36,25,0,14.97,clear sky
60,Rawlins,US,41.7911,-107.2387,26.49,39,0,12.66,clear sky
61,Mount Vernon,US,40.9126,-73.8371,48.94,33,82,15.99,broken clouds
62,Glenwood Springs,US,39.5505,-107.3248,43.72,35,0,0.0,clear sky
63,Marathon,US,44.9,-89.7668,25.84,44,40,18.41,scattered clouds
64,Cockburn Town,TC,21.4612,-71.1419,75.97,65,67,19.75,broken clouds
65,Bobcaygeon,CA,44.5462,-78.542,24.08,64,98,13.0,overcast clouds
66,Morristown,US,36.214,-83.2949,43.5,44,40,9.22,scattered clouds
67,Lawrenceburg,US,38.0373,-84.8966,34.38,47,0,8.05,clear sky
68,La Crosse,US,43.8014,-91.2396,27.16,45,0,23.02,clear sky
69,Ashland,US,40.8167,-82.2665,20.03,72,99,16.46,overcast clouds
70,Hays,US,30.0502,-98.0336,52.16,57,100,1.99,overcast clouds
71,Tupelo,US,34.2576,-88.7034,50.29,36,0,12.19,clear sky
72,Northport,US,33.229,-87.5772,51.62,42,0,5.75,clear sky
73,China,MX,25.7,-99.2333,56.7,44,72,16.22,broken clouds
74,Clovis,US,36.8252,-119.7029,70.03,41,100,3.44,overcast clouds
75,Liberal,US,37.0431,-100.921,47.44,19,0,12.66,clear sky
76,Starkville,US,33.4504,-88.8184,51.46,40,0,5.75,clear sky
77,Oxford,GB,51.7522,-1.256,49.37,94,100,8.05,moderate rain
78,Pecos,US,31.4229,-103.4932,54.43,37,100,5.75,overcast clouds
79,Bloomington,US,44.8408,-93.2983,26.58,52,0,14.97,clear sky
80,Mandeville,JM,18.0417,-77.5071,66.56,89,27,4.07,scattered clouds
81,Rupert,US,42.6191,-113.6772,46.35,42,0,10.36,clear sky
82,Yavaros,MX,26.7,-109.5167,75.45,59,95,13.31,light rain
83,Sanford,US,28.8006,-81.2731,73.69,84,100,17.27,overcast clouds
84,Lancaster,US,40.2504,-76.2499,44.08,41,71,4.0,broken clouds
85,Peterborough,GB,52.5736,-0.2478,49.87,93,100,17.27,overcast clouds
86,Jackson,US,42.4165,-122.8345,63.37,39,0,4.0,clear sky
87,Vermillion,US,42.7794,-96.9292,21.36,80,51,11.01,broken clouds
88,Indianola,US,41.3581,-93.5574,26.4,50,100,11.01,overcast clouds
89,Pitiquito,MX,30.7,-112.0833,75.52,15,26,8.3,scattered clouds
90,Ingersoll,CA,43.0334,-80.883,23.07,62,100,19.26,overcast clouds
91,Empalme,MX,27.9667,-110.8167,81.36,37,59,12.35,broken clouds
92,Marion,US,39.7684,-86.1555,22.55,72,100,20.71,overcast clouds
93,Rancho Palos Verdes,US,33.7445,-118.387,75.97,53,0,12.66,clear sky
94,Benton Harbor,US,42.1167,-86.4542,23.11,64,100,19.57,overcast clouds
95,San Quintin,MX,30.4833,-115.95,64.26,54,3,13.13,clear sky
96,Colonial Park,US,40.3006,-76.8097,44.51,38,88,10.0,overcast clouds
97,Clarksville,US,36.5298,-87.3595,40.08,40,100,18.41,overcast clouds
98,Union City,US,37.5958,-122.0192,68.49,64,0,8.05,clear sky
99,Encinitas,US,33.037,-117.292,77.5,43,0,6.91,clear sky
100,Flagstaff,US,35.1981,-111.6513,48.6,37,0,10.36,clear sky
101,Milford Mill,US,39.3479,-76.77,48.65,34,57,8.01,broken clouds
102,Waverly,US,42.7392,-84.6208,21.54,77,100,13.8,haze
103,Socorro,US,31.6546,-106.3033,53.46,32,75,11.5,broken clouds
104,West Des Moines,US,41.572,-93.7453,27.05,53,75,17.27,broken clouds
105,West Wendover,US,40.7391,-114.0733,43.81,39,0,5.75,clear sky
106,Poquoson,US,37.1224,-76.3458,51.98,64,0,6.91,clear sky
107,Show Low,US,34.2542,-110.0298,48.49,33,20,10.36,few clouds
108,Plover,US,44.4564,-89.544,26.71,28,40,12.66,scattered clouds
109,Pocatello,US,42.8713,-112.4455,44.51,38,0,14.97,clear sky
110,Saint Simons,US,31.1352,-81.3901,59.04,72,100,6.91,light rain
111,Worthington,US,40.0931,-83.018,24.26,64,100,20.71,overcast clouds
112,Winnemucca,US,40.973,-117.7357,55.45,24,0,4.61,clear sky
113,Chubbuck,US,42.9208,-112.4661,44.49,35,0,14.97,clear sky
114,Brownsville,US,25.9018,-97.4975,55.9,68,100,14.97,overcast clouds
115,Albany,US,42.6001,-73.9662,38.05,71,85,4.0,overcast clouds
116,Keokuk,US,40.3973,-91.3849,26.1,63,100,10.36,overcast clouds
117,Farmington,US,36.7281,-108.2187,49.77,27,20,5.75,few clouds
118,Sand Springs,US,36.1398,-96.1089,43.38,26,0,11.5,clear sky
119,Elk City,US,35.412,-99.4043,48.42,20,40,18.41,scattered clouds
120,Redlands,US,34.0556,-117.1825,74.16,26,75,1.01,broken clouds
121,Ammon,US,43.4696,-111.9666,33.94,63,0,5.75,clear sky
122,Pahrump,US,36.2083,-115.9839,62.94,22,18,5.01,few clouds
123,Hondo,JP,32.45,130.2,53.96,65,21,7.65,few clouds
124,Martinez,US,38.0194,-122.1341,67.48,68,0,6.91,clear sky
125,Oneonta,US,42.4529,-75.0638,32.81,91,97,2.82,overcast clouds
126,Lakeway,US,30.3638,-97.9796,54.09,43,0,1.99,clear sky
127,The Woodlands,US,30.158,-95.4894,54.46,51,100,6.91,overcast clouds
128,Howard,US,39.2504,-76.933,49.21,35,57,3.0,broken clouds
129,Brunswick,US,41.2381,-81.8418,22.33,68,100,17.27,overcast clouds
130,Monroe,US,43.1501,-77.6831,31.62,69,100,19.57,overcast clouds
131,Venice,US,27.0998,-82.4543,76.98,86,0,12.66,clear sky
132,Le Mars,US,42.7942,-96.1656,22.51,63,0,14.97,clear sky
133,Clifton,US,40.8584,-74.1638,48.74,33,0,12.66,clear sky
134,Waycross,US,31.2136,-82.354,53.85,54,100,12.66,moderate rain
135,Douglas,US,41.3,-96.167,26.58,49,40,20.71,scattered clouds
136,Hot Springs,US,34.5037,-93.0552,48.51,61,0,10.0,clear sky
